U+0B82,ஂ,TAMIL-SIGN-ANUSVARA,-
U+0B83,ஃ,TAMIL-SIGN-VISARGA,-
U+0B85,அ,TAMIL-LETTER-A,U+0B86
U+0B86,ஆ,TAMIL-LETTER-AA,U+0B85
U+0B87,இ,TAMIL-LETTER-I,U+0B88
U+0B88,ஈ,TAMIL-LETTER-II,U+0B87
U+0B89,உ,TAMIL-LETTER-U,U+0B8A
U+0B8A,ஊ,TAMIL-LETTER-UU,U+0B89
U+0B8E,எ,TAMIL-LETTER-E,U+0B8F
U+0B8F,ஏ,TAMIL-LETTER-EE,U+0B8E
U+0B90,ஐ,TAMIL-LETTER-AI,U+0B87-U+0B9C
U+0B92,ஒ,TAMIL-LETTER-O,U+0B93
U+0B93,ஓ,TAMIL-LETTER-OO,U+0B92
U+0B94,ஔ,TAMIL-LETTER-AU,-
U+0B95,க,TAMIL-LETTER-KA,-
U+0B99,ங,TAMIL-LETTER-NGA,U+0B9E
U+0B9A,ச,TAMIL-LETTER-CA,-
U+0B9C,ஜ,TAMIL-LETTER-JA,U+0B90
U+0B9E,ஞ,TAMIL-LETTER-NYA,-
U+0B9F,ட,TAMIL-LETTER-TTA,-
U+0BA3,ண,TAMIL-LETTER-NNA,U+0BA9-U+0BA8
U+0BA4,த,TAMIL-LETTER-TA,-
U+0BA8,ந,TAMIL-LETTER-NA,U+0BA3-U+0BA9
U+0BA9,ன,TAMIL-LETTER-NNNA,U+0BA8-U+0BA3
U+0BAA,ப,TAMIL-LETTER-PA,-
U+0BAE,ம,TAMIL-LETTER-MA,-
U+0BAF,ய,TAMIL-LETTER-YA,-
U+0BB0,ர,TAMIL-LETTER-RA,U+0BB1
U+0BB1,ற,TAMIL-LETTER-RRA,U+0BB0
U+0BB2,ல,TAMIL-LETTER-LA,U+0BB3-U+0BB4
U+0BB3,ள,TAMIL-LETTER-LLA,U+0BB2-U+0BB4
U+0BB4,ழ,TAMIL-LETTER-LLLA,U+0BB2-U+0BB3
U+0BB5,வ,TAMIL-LETTER-VA,-
U+0BB6,ஶ,TAMIL-LETTER-SHA,-
U+0BB7,ஷ,TAMIL-LETTER-SSA,-
U+0BB8,ஸ,TAMIL-LETTER-SA,-
U+0BB9,ஹ,TAMIL-LETTER-HA,-
U+0BBE,ா,TAMIL-VOWEL-SIGN-AA,-
U+0BBF,ி,TAMIL-VOWEL-SIGN-I,U+0BC0
U+0BC0,ீ,TAMIL-VOWEL-SIGN-II,U+0BBF
U+0BC1,ு,TAMIL-VOWEL-SIGN-U,U+0BC2
U+0BC2,ூ,TAMIL-VOWEL-SIGN-UU,U+0BC1
U+0BC6,ெ,TAMIL-VOWEL-SIGN-E,U+0BC7-U+0BCA-U+0BCB-U+0BCC
U+0BC7,ே,TAMIL-VOWEL-SIGN-EE,U+0BC6-U+0BCA-U+0BCB-U+0BCC
U+0BC8,ை,TAMIL-VOWEL-SIGN-AI,-
U+0BCA,ொ,TAMIL-VOWEL-SIGN-O,U+0BCB-U+0BCC-U+0BC6-U+0BC7
U+0BCB,ோ,TAMIL-VOWEL-SIGN-OO,U+0BCA-U+0BC7-U+0BC6-U+0BCC
U+0BCC,ௌ,TAMIL-VOWEL-SIGN-AU,U+0BC6-U+0BC7-U+0BCA-U+0BCB
U+0BCD,்,TAMIL-SIGN-VIRAMA,-
U+0BD0,ௐ,TAMIL-OM,-
U+0BD7,ௗ,TAMIL-AU-LENGTH-MARK,-
U+0BE6,௦,TAMIL-DIGIT-ZERO,-
U+0BE7,௧,TAMIL-DIGIT-ONE,-
U+0BE8,௨,TAMIL-DIGIT-TWO,-
U+0BE9,௩,TAMIL-DIGIT-THREE,-
U+0BEA,௪,TAMIL-DIGIT-FOUR,-
U+0BEB,௫,TAMIL-DIGIT-FIVE,-
U+0BEC,௬,TAMIL-DIGIT-SIX,-
U+0BED,௭,TAMIL-DIGIT-SEVEN,-
U+0BEE,௮,TAMIL-DIGIT-EIGHT,-
U+0BEF,௯,TAMIL-DIGIT-NINE,-
U+0BF0,௰,TAMIL-NUMBER-TEN,-
U+0BF1,௱,TAMIL-NUMBER-ONE-HUNDRED,-
U+0BF2,௲,TAMIL-NUMBER-ONE-THOUSAND,-
U+0BF3,௳,TAMIL-DAY-SIGN,-
U+0BF4,௴,TAMIL-MONTH-SIGN,-
U+0BF5,௵,TAMIL-YEAR-SIGN,-
U+0BF6,௶,TAMIL-DEBIT-SIGN,-
U+0BF7,௷,TAMIL-CREDIT-SIGN,-
U+0BF8,௸,TAMIL-AS-ABOVE-SIGN,-
U+0BF9,௹,TAMIL-RUPEE-SIGN,-
U+0BFA,௺,TAMIL-NUMBER-SIGN,-
